id;Latex;English 1;English 2;English 3
354;||\vec{b}|| = \sqrt{\gamma_1^2 + \gamma_2^2 + \cdots + \delta_n^2};The magnitude of vector b equals the square root of the sum of gamma one squared, gamma two squared, and so on, up to delta n squared.;The length of vector b is the square root of the sum of the squares of gamma one, gamma two, through to delta n.;The norm of vector b is the square root of the sum of gamma one squared, gamma two squared, all the way to delta n squared.
355;||\vec{\epsilon}|| = \sqrt{z_1^2 + \beta_2^2 + \cdots + \delta_n^2};The magnitude of vector epsilon equals the square root of the sum of z one squared, beta two squared, and so on, up to delta n squared.;The length of vector epsilon is the square root of the sum of the squares of z one, beta two, through to delta n.;The norm of vector epsilon is the square root of the sum of z one squared, beta two squared, all the way to delta n squared.
356;\psi^{-1}(\zeta);Psi inverse of zeta.;The inverse of psi applied to zeta.;Zeta under the inverse function of psi.
357;f^{-1}(\epsilon);F inverse of epsilon.;The inverse of f applied to epsilon.;Epsilon under the inverse function of f.
358;\omega^{-1}(a);Omega inverse of a.;The inverse of omega applied to a.;A under the inverse function of omega.
359;g^{-1}(\delta);G inverse of delta.;The inverse of g applied to delta.;Delta under the inverse function of g.
360;h^{-1}(b);H inverse of b.;The inverse of h applied to b.;B under the inverse function of h.
361;\phi^{-1}(z);Phi inverse of z.;The inverse of phi applied to z.;Z under the inverse function of phi.
362;g^{-1}(z);G inverse of z.;The inverse of g applied to z.;Z under the inverse function of g.
363;f^{-1}(\delta);F inverse of delta.;The inverse of f applied to delta.;Delta under the inverse function of f.
364;\omega^{-1}(\eta);Omega inverse of eta.;The inverse of omega applied to eta.;Eta under the inverse function of omega.
365;g^{-1}(\beta);G inverse of beta.;The inverse of g applied to beta.;Beta under the inverse function of g.
366;\phi^{-1}(x);Phi inverse of x.;The inverse of phi applied to x.;X under the inverse function of phi.
367;h^{-1}(z);H inverse of z.;The inverse of h applied to z.;Z under the inverse function of h.
368;f^{-1}(a);F inverse of a.;The inverse of f applied to a.;A under the inverse function of f.
369;f^{-1}(c);F inverse of c.;The inverse of f applied to c.;C under the inverse function of f.
370;h^{-1}(z);H inverse of z.;The inverse of h applied to z.;Z under the inverse function of h.
371;f^{-1}(x);F inverse of x.;The inverse of f applied to x.;X under the inverse function of f.
372;h^{-1}(x);H inverse of x.;The inverse of h applied to x.;X under the inverse function of h.
373;\phi^{-1}(\alpha);Phi inverse of alpha.;The inverse of phi applied to alpha.;Alpha under the inverse function of phi.
374;\phi^{-1}(z);Phi inverse of z.;The inverse of phi applied to z.;Z under the inverse function of phi.
375;h^{-1}(z);H inverse of z.;The inverse of h applied to z.;Z under the inverse function of h.
376;e^ \zeta = \sum_{{n=0}}^{\infty} \frac{\zeta^n}{n!};E to the power of zeta equals the sum from n equals zero to infinity of zeta to the power of n divided by n factorial.;Exponential of zeta is equal to the infinite sum of zeta raised to the power n over n factorial, where n starts from zero.;E raised to the zeta is the sum of zeta to the n over n factorial, for all n from zero to infinity.
377;e^ x = \sum_{{n=0}}^{\infty} \frac{\epsilon^n}{n!};E to the power of x equals the sum from n equals zero to infinity of epsilon to the power of n divided by n factorial.;Exponential of x is equal to the infinite sum of epsilon raised to the power n over n factorial, where n starts from zero.;E raised to the x is the sum of epsilon to the n over n factorial, for all n from zero to infinity.
378;e^ z = \sum_{{n=0}}^{\infty} \frac{\delta^n}{n!};E to the power of z equals the sum from n equals zero to infinity of delta to the power of n divided by n factorial.;Exponential of z is equal to the infinite sum of delta raised to the power n over n factorial, where n starts from zero.;E raised to the z is the sum of delta to the n over n factorial, for all n from zero to infinity.
379;e^ a = \sum_{{n=0}}^{\infty} \frac{\alpha^n}{n!};E to the power of a equals the sum from n equals zero to infinity of alpha to the power of n divided by n factorial.;Exponential of a is equal to the infinite sum of alpha raised to the power n over n factorial, where n starts from zero.;E raised to the a is the sum of alpha to the n over n factorial, for all n from zero to infinity.
380;e^ \alpha = \sum_{{n=0}}^{\infty} \frac{y^n}{n!};E to the power of alpha equals the sum from n equals zero to infinity of y to the power of n divided by n factorial.;Exponential of alpha is equal to the infinite sum of y raised to the power n over n factorial, where n starts from zero.;E raised to the alpha is the sum of y to the n over n factorial, for all n from zero to infinity.
381;e^ \delta = \sum_{{n=0}}^{\infty} \frac{\eta^n}{n!};E to the power of delta equals the sum from n equals zero to infinity of eta to the power of n divided by n factorial.;Exponential of delta is equal to the infinite sum of eta raised to the power n over n factorial, where n starts from zero.;E raised to the delta is the sum of eta to the n over n factorial, for all n from zero to infinity.
382;e^ \eta = \sum_{{n=0}}^{\infty} \frac{c^n}{n!};E to the power of eta equals the sum from n equals zero to infinity of c to the power of n divided by n factorial.;Exponential of eta is equal to the infinite sum of c raised to the power n over n factorial, where n starts from zero.;E raised to the eta is the sum of c to the n over n factorial, for all n from zero to infinity.
383;e^ \epsilon = \sum_{{n=0}}^{\infty} \frac{\zeta^n}{n!};E to the power of epsilon equals the sum from n equals zero to infinity of zeta to the power of n divided by n factorial.;Exponential of epsilon is equal to the infinite sum of zeta raised to the power n over n factorial, where n starts from zero.;E raised to the epsilon is the sum of zeta to the n over n factorial, for all n from zero to infinity.
384;e^ b = \sum_{{n=0}}^{\infty} \frac{\alpha^n}{n!};E to the power of b equals the sum from n equals zero to infinity of alpha to the power of n divided by n factorial.;Exponential of b is equal to the infinite sum of alpha raised to the power n over n factorial, where n starts from zero.;E raised to the b is the sum of alpha to the n over n factorial, for all n from zero to infinity.
385;e^ \delta = \sum_{{n=0}}^{\infty} \frac{c^n}{n!};E to the power of delta equals the sum from n equals zero to infinity of c to the power of n divided by n factorial.;Exponential of delta is equal to the infinite sum of c raised to the power n over n factorial, where n starts from zero.;E raised to the delta is the sum of c to the n over n factorial, for all n from zero to infinity.
386;e^ b = \sum_{{n=0}}^{\infty} \frac{z^n}{n!};E to the power of b equals the sum from n equals zero to infinity of z to the power of n divided by n factorial.;Exponential of b is equal to the infinite sum of z raised to the power n over n factorial, where n starts from zero.;E raised to the b is the sum of z to the n over n factorial, for all n from zero to infinity.
387;e^ c = \sum_{{n=0}}^{\infty} \frac{z^n}{n!};E to the power of c equals the sum from n equals zero to infinity of z to the power of n divided by n factorial.;Exponential of c is equal to the infinite sum of z raised to the power n over n factorial, where n starts from zero.;E raised to the c is the sum of z to the n over n factorial, for all n from zero to infinity.
388;e^ c = \sum_{{n=0}}^{\infty} \frac{y^n}{n!};E to the power of c equals the sum from n equals zero to infinity of y to the power of n divided by n factorial.;Exponential of c is equal to the infinite sum of y raised to the power n over n factorial, where n starts from zero.;E raised to the c is the sum of y to the n over n factorial, for all n from zero to infinity.
389;e^ \delta = \sum_{{n=0}}^{\infty} \frac{z^n}{n!};E to the power of delta equals the sum from n equals zero to infinity of z to the power of n divided by n factorial.;Exponential of delta is equal to the infinite sum of z raised to the power n over n factorial, where n starts from zero.;E raised to the delta is the sum of z to the n over n factorial, for all n from zero to infinity.
390;e^ x = \sum_{{n=0}}^{\infty} \frac{b^n}{n!};E to the power of x equals the sum from n equals zero to infinity of b to the power of n divided by n factorial.;Exponential of x is equal to the infinite sum of b raised to the power n over n factorial, where n starts from zero.;E raised to the x is the sum of b to the n over n factorial, for all n from zero to infinity.
391;e^ \zeta = \sum_{{n=0}}^{\infty} \frac{\zeta^n}{n!};E to the power of zeta equals the sum from n equals zero to infinity of zeta to the power of n divided by n factorial.;Exponential of zeta is equal to the infinite sum of zeta raised to the power n over n factorial, where n starts from zero.;E raised to the zeta is the sum of zeta to the n over n factorial, for all n from zero to infinity.
392;e^ c = \sum_{{n=0}}^{\infty} \frac{y^n}{n!};E to the power of c equals the sum from n equals zero to infinity of y to the power of n divided by n factorial.;Exponential of c is equal to the infinite sum of y raised to the power n over n factorial, where n starts from zero.;E raised to the c is the sum of y to the n over n factorial, for all n from zero to infinity.
393;e^ \eta = \sum_{{n=0}}^{\infty} \frac{\beta^n}{n!};E to the power of eta equals the sum from n equals zero to infinity of beta to the power of n divided by n factorial.;Exponential of eta is equal to the infinite sum of beta raised to the power n over n factorial, where n starts from zero.;E raised to the eta is the sum of beta to the n over n factorial, for all n from zero to infinity.
394;e^ y = \sum_{{n=0}}^{\infty} \frac{b^n}{n!};E to the power of y equals the sum from n equals zero to infinity of b to the power of n divided by n factorial.;Exponential of y is equal to the infinite sum of b raised to the power n over n factorial, where n starts from zero.;E raised to the y is the sum of b to the n over n factorial, for all n from zero to infinity.
